from,to,passengers
Canada,United States,10499
Mexico,United States,17551
United Kingdom,United States,7438
China,United States,560
Germany,United States,4307
Japan,United States,1865
France,United States,3563
Dominican Republic,United States,4336
South Korea,United States,2507
Netherlands,United States,1706
Brazil,United States,1958
Spain,United States,1450
Italy,United States,1681
Jamaica,United States,2137
Hong Kong,United States,2412
Ireland,United States,1555
Colombia,United States,1613
Panama,United States,152
Australia,United States,739
The Bahamas,United States,1154
Switzerland,United States,930
Israel,United States,917
Haiti,United States,440
Denmark,United States,305
Philippines,United States,369
Cayman Islands,United States,402
Belgium,United States,244
Bermuda,United States,192
Barbados,United States,451
Greece,United States,203
Venezuela,United States,0
Netherlands Antilles,United States,0